Service Name,Zain RS,ALBawaba & SP RS,Dizlee RS%,ALBawaba RS,SP RS
AppyGames,0.30,0.65,0.05,0.15,0.50
Arab Cooking,0.30,0.65,0.05,0.01,0.64
beyond lifestyle,0.30,0.65,0.05,0.01,0.64
Books Shelf,0.30,0.66,0.04,0.11,0.55
Diety,0.30,0.65,0.05,0.20,0.45
Domino Cafe,0.30,0.68,0.02,0.01,0.67
Fantasy5,0.30,0.65,0.05,0.20,0.45
FIFA Tutorials,0.30,0.65,0.05,0.01,0.64
FIFA Tutorials - GBOnline,0.30,0.65,0.05,0.01,0.64
FIFA Tutorials - GOnline,0.30,0.65,0.05,0.01,0.64
FIFA Tutorials - SAOnline,0.30,0.65,0.05,0.01,0.64
FIFA Tutorials - SOnline,0.30,0.65,0.05,0.01,0.64
Food portal,0.30,0.65,0.05,0.01,0.64
Footballer Stars Club,0.30,0.65,0.05,0.18,0.47
game station,0.30,0.65,0.05,0.20,0.45
Gamecafe,0.30,0.65,0.05,0.01,0.64
Games Zone,0.30,0.65,0.05,0.15,0.50
GameZilla,0.30,0.65,0.05,0.01,0.64
GameZilla-GBOnline,0.30,0.65,0.05,0.01,0.64
GameZilla-GOnline,0.30,0.65,0.05,0.01,0.64
GameZilla-SAOnline,0.30,0.65,0.05,0.01,0.64
GameZilla-SOnline,0.30,0.65,0.05,0.01,0.64
Gaming portal,0.30,0.65,0.05,0.01,0.64
Hekayat,0.30,0.65,0.05,0.01,0.64
Herbals Medicine,0.30,0.65,0.05,0.01,0.64
Herbals Medicine - GBOnline,0.30,0.65,0.05,0.01,0.64
Herbals Medicine - GOnline,0.30,0.65,0.05,0.01,0.64
Herbals Medicine - SAOnline,0.30,0.65,0.05,0.01,0.64
Herbals Medicine - SOnline,0.30,0.65,0.05,0.01,0.64
High Fives,0.30,0.65,0.05,0.20,0.45
Khalaspay,0.30,0.70,0.01,0.01,0.69
Kids portal,0.30,0.65,0.05,0.01,0.64
Know Your Country,0.30,0.69,0.01,0.20,0.49
Magic Games,0.30,0.65,0.05,0.25,0.40
MobiBattle-MO-1000,0.30,0.65,0.05,0.13,0.52
MobiBattle-MO-120,0.30,0.65,0.05,0.13,0.52
MobiBattle-MO-240,0.30,0.65,0.05,0.13,0.52
MobiBattle-MO-500,0.30,0.65,0.05,0.13,0.52
MobiBattle-Subscription,0.30,0.65,0.05,0.13,0.52
PandaCredit,0.30,0.69,0.01,0.02,0.67
Plat-Games ,0.30,0.65,0.05,0.22,0.43
Play_and_Play,0.30,0.65,0.05,0.15,0.50
Pocket Library,0.30,0.65,0.05,0.15,0.50
Quiz Champ,0.30,0.65,0.05,0.20,0.45
Social Media Photographer,0.30,0.65,0.05,0.01,0.64
TinyMinies,0.30,0.65,0.05,0.10,0.55
Travel Buddy 360,0.30,0.65,0.05,0.15,0.50
Valorant Heros,0.30,0.65,0.05,0.01,0.64
Valorant Heros - GBOnline,0.30,0.65,0.05,0.01,0.64
Valorant Heros - GOnline,0.30,0.65,0.05,0.01,0.64
Valorant Heros - SAOnline,0.30,0.65,0.05,0.01,0.64
Valorant Heros - SOnline,0.30,0.65,0.05,0.01,0.64
Video Games Tutorial,0.30,0.65,0.05,0.01,0.64
Video Games Tutorial - GBOnline,0.30,0.65,0.05,0.01,0.64
Video Games Tutorial - Gonline,0.30,0.65,0.05,0.01,0.64
Video Games Tutorial - SAOnline,0.30,0.65,0.05,0.01,0.64
Video Games Tutorial - Sonline,0.30,0.65,0.05,0.01,0.64
Women portal,0.30,0.65,0.05,0.01,0.64
YallaPlay,0.30,0.67,0.03,0.25,0.43
