 SP Name ,Service name,Total Revenue,Date
MobMerchant,Travel Buddy 360,"540,600",24-Sep
Window,Video Games Tutorial,"35,400",24-Sep
Window,FIFA Tutorials,"5,100",24-Sep
Window,Valorant Heros,"3,900",24-Sep
MobMerchant,Pocket Library,"400,200",24-Sep
BlackNGreen,MobiBattle-Subscription,"7,192,500",24-Sep
Dharam,Quiz Champ,"861,300",24-Sep
Gamester,TinyMinies,"726,300",24-Sep
Window,Herbals Medicine,600,24-Sep
Window,GameZilla,"1,200",24-Sep
Window,Video Games Tutorial - Sonline,"2,068,200",24-Sep
Qadisha,books shelf,"8,656,500",24-Sep
Dharam,Footballer Stars Club,"3,594,000",24-Sep
Costar,Magic Games,"3,141,600",24-Sep
Megamaind,High Fives,"2,040,900",24-Sep
Forest,Plat-Games,"749,400",24-Sep
Window,Video Games Tutorial - Gonline,"692,100",24-Sep
Window,GameZilla-SOnline,"1,484,700",24-Sep
Window,GameZilla-GOnline,"486,600",24-Sep
Cookies,Play and Play,"1,563,600",24-Sep
Mobile Content International Ltd,Fantasy5,"139,600",24-Sep
Window,GameZilla-SAOnline,"6,552,000",24-Sep
Window,GameZilla-GBOnline,"3,314,100",24-Sep
Window,Video Games Tutorial - GBOnline,"2,350,200",24-Sep
Window,Video Games Tutorial - SAOnline,"5,145,600",24-Sep
Window,FIFA Tutorials - SOnline,"122,400",24-Sep
Window,FIFA Tutorials - SAOnline,"5,084,400",24-Sep
Window,FIFA Tutorials - GBOnline,"2,558,100",24-Sep
Window,Valorant Heros - SOnline,"185,100",24-Sep
Window,Valorant Heros - SAOnline,"4,360,800",24-Sep
Window,Valorant Heros - GBOnline,"2,032,800",24-Sep
Window,Herbals Medicine - SOnline,"49,500",24-Sep
Window,Herbals Medicine - SAOnline,"5,486,100",24-Sep
Window,Herbals Medicine - GBOnline,"918,300",24-Sep
Grand technology,Games Zone,"1,837,500",24-Sep
